id,left,top,right,bottom,image,valid,user,origin_source_id,,
137,0.2379,0.3479,1,0.9652,cropped-images-dev/60ZVPBCJVEQ_1.jpg,1,3,11023,NULL,NULL
138,0.1517,0.0824,0.8517,0.9307,cropped-images-dev/8M9Q5GYP8MX_1.jpg,NULL,3,11024,NULL,NULL
139,0.1759,0.041,0.8379,0.972,cropped-images-dev/O4CT9Q6QSFV_1.jpg,1,3,11025,NULL,NULL
140,0.0724,0.172,0.8586,0.9238,cropped-images-dev/MU890TTLKBT_1.jpg,1,3,11026,NULL,NULL
141,0.1,0.1238,0.8241,0.9514,cropped-images-dev/ILVZABCMVSU_1.jpg,1,3,11027,NULL,NULL
142,0.0931,0.0031,0.6793,0.941,cropped-images-dev/83HPB6SJ3CA_1.jpg,1,3,11028,NULL,NULL
143,0.0655,0.0031,0.9931,0.9858,cropped-images-dev/UN2VYD993BV_1.jpg,1,3,11029,NULL,NULL
144,0.1483,0.0893,0.8241,0.972,cropped-images-dev/R6WWFCO9GHF_1.jpg,1,3,11030,NULL,NULL
145,0.1276,0.1514,0.8931,0.91,cropped-images-dev/E1OQEMMMV0Z_1.jpg,1,3,11031,NULL,NULL
146,0.1345,0.2548,0.8966,0.9272,cropped-images-dev/LW3I7KTY65D_1.jpg,1,3,11032,NULL,NULL
147,0.2241,0.0134,0.731,0.772,cropped-images-dev/161M0X14XJT_1.jpg,1,3,11033,NULL,NULL
148,0.0966,0.1962,0.8862,0.8169,cropped-images-dev/P651YWDF9TA_1.jpg,1,3,11034,NULL,NULL
149,0.1103,0.3376,0.4517,1,cropped-images-dev/AEPY7WD8JKN_1.jpg,1,3,11035,NULL,NULL
150,0.0172,0.3031,0.731,0.972,cropped-images-dev/SYK73NTYA1I_1.jpg,1,3,11036,NULL,NULL
151,0.1966,0.0686,0.7207,0.6652,cropped-images-dev/NC9GB9KCTCG_1.jpg,1,3,11038,NULL,NULL
152,0.1621,0.31,0.6207,0.8445,cropped-images-dev/7N2DIPYQKLC_1.jpg,1,3,11039,NULL,NULL
153,0.2034,0.0203,1,0.9927,cropped-images-dev/Z2SK2JMTC1S_1.jpg,1,3,11040,NULL,NULL
154,0.0448,0.0341,0.9,0.9583,cropped-images-dev/MG6O83VD6XH_1.jpg,1,3,11041,NULL,NULL
155,0.1241,0.0962,0.5379,0.8893,cropped-images-dev/9YLC9LT1AXV_1.jpg,1,3,11042,NULL,NULL
156,0.1966,0.0307,0.9345,0.6479,cropped-images-dev/9JG67624JGD_1.jpg,1,3,11043,NULL,NULL
157,0.4966,0.2238,0.9172,0.91,cropped-images-dev/N0ZXMLOUOFN_1.jpg,1,3,11044,NULL,NULL
158,0.2517,0.1858,0.7207,0.8686,cropped-images-dev/6IE06NF315Y_1.jpg,1,3,11045,NULL,NULL
159,0.0448,0.1996,0.9379,0.8583,cropped-images-dev/4CSKNXRPMMG_1.jpg,1,3,11046,NULL,NULL
160,0.1655,0.0169,0.9138,0.8962,cropped-images-dev/CY3MFFJ6FRE_1.jpg,1,3,11047,NULL,NULL
161,0,0,1,1,cropped-images-dev/PG7ZON95E2P_1.jpg,1,3,11048,NULL,NULL
162,0.2172,0.1962,0.9828,0.9996,cropped-images-dev/4X9NIHDVIEW_1.jpg,1,3,11049,NULL,NULL
163,0.1966,0.1445,0.8586,0.9134,cropped-images-dev/2H6I9GU38VN_1.jpg,1,3,11050,NULL,NULL
164,0.0517,0.0962,0.9552,0.9169,cropped-images-dev/0JPM6WQ8JST_1.jpg,1,3,11051,NULL,NULL
165,0.2448,0.2548,0.9552,0.8858,cropped-images-dev/B7IC7PP188M_1.jpg,1,3,11052,NULL,NULL
166,0.0138,0.0445,0.7138,0.9858,cropped-images-dev/PAG1QMEJY5K_1.jpg,1,3,11054,NULL,NULL
167,0.0764,0.0108,0.9346,1,cropped-images-dev/EOQXYH85S3L_1.jpg,1,3,11055,NULL,NULL
168,0.3091,0.0108,0.9491,0.9692,cropped-images-dev/U9IZLLNFGFL_1.jpg,1,3,11056,NULL,NULL
169,0.2873,0.0914,0.9746,0.9247,cropped-images-dev/CNGIXJ34K2C_1.jpg,1,3,11057,NULL,NULL
170,0.4254,0.1497,0.8873,0.8108,cropped-images-dev/YZ4ZE1950JV_1.jpg,1,3,11058,NULL,NULL
171,0.2691,0.2858,0.8836,0.8969,cropped-images-dev/YB2K13E1G6J_1.jpg,1,3,11059,NULL,NULL
172,0.24,0.0108,0.9891,0.9775,cropped-images-dev/TK6YP4NECGT_1.jpg,1,3,11060,NULL,NULL
173,0.2727,0.0164,0.8873,0.9497,cropped-images-dev/TVFP8MFK26X_1.jpg,1,3,11061,NULL,NULL
174,0.0909,0.2719,0.6073,0.9997,cropped-images-dev/SD5I0DAD91I_1.jpg,1,3,11062,NULL,NULL
175,0.2436,0.2108,1,0.9636,cropped-images-dev/0I7M68B55EJ_1.jpg,1,3,11063,NULL,NULL
176,0.1746,0.1136,0.6146,0.7497,cropped-images-dev/RJX0FY723JN_1.jpg,1,3,11064,NULL,NULL
177,0.1854,0.0803,0.8836,0.9136,cropped-images-dev/022Q969QSZC_1.jpg,1,3,11065,NULL,NULL
178,0.1854,0.0664,0.7382,0.8608,cropped-images-dev/CFY9B6W6QUY_1.jpg,1,3,11066,NULL,NULL
179,0.2109,0.008,0.9054,0.9636,cropped-images-dev/31M29H4QY9O_1.jpg,1,3,11067,NULL,NULL
180,0.2073,0.1025,0.9782,0.9608,cropped-images-dev/0R2MM5NWYTK_1.jpg,1,3,11068,NULL,NULL
181,0.4509,0.2942,0.8436,0.8219,cropped-images-dev/8IZ5DAEU5GY_1.jpg,1,3,11069,NULL,NULL
182,0.2,0.1053,0.7273,0.7442,cropped-images-dev/CE7ST7JU55V_1.jpg,1,3,11070,NULL,NULL
183,0.4654,0.0053,0.9127,0.983,cropped-images-dev/5T22UVS47HC_1.jpg,1,3,11071,NULL,NULL
184,0.2182,0.0108,0.9054,0.9719,cropped-images-dev/8YFO9UU2QTT_1.jpg,1,3,11072,NULL,NULL
185,0.2073,0.3164,0.8618,0.7803,cropped-images-dev/EA6BS380TJV_1.jpg,1,3,11073,NULL,NULL
186,0.1636,0.0053,0.8036,0.9442,cropped-images-dev/APO6HF20ZRG_1.jpg,1,3,11074,NULL,NULL
187,0.1927,0.0219,0.6946,0.983,cropped-images-dev/FCK0Q7UCFEQ_1.jpg,1,3,11075,NULL,NULL
188,0.2473,0.0164,0.9782,0.9164,cropped-images-dev/I0R5ZADKRFL_1.jpg,1,3,11076,NULL,NULL
189,0.2873,0.0275,0.9309,0.9275,cropped-images-dev/1FGOAFXSNMF_1.jpg,1,3,11077,NULL,NULL
190,0.3636,0.0247,0.96,0.8775,cropped-images-dev/OIBSECS0GFD_1.jpg,1,3,11078,NULL,NULL
191,0.2873,0.0497,0.84,0.8914,cropped-images-dev/25HVR38Q9QL_1.jpg,1,3,11079,NULL,NULL
192,0.2364,0.0247,0.6109,0.8886,cropped-images-dev/EDR4T34EE0C_1.jpg,1,3,11080,NULL,NULL
193,0.1346,0.1553,0.8982,0.9664,cropped-images-dev/OBP9V3QZYXQ_1.jpg,1,3,11081,NULL,NULL
194,0.1018,0,0.7454,0.9497,cropped-images-dev/RRY90AHAPNT_1.jpg,1,3,11082,NULL,NULL
195,0.2873,0.1108,0.9491,0.9358,cropped-images-dev/8FXJE7HI9BQ_1.jpg,1,3,11083,NULL,NULL
196,0.0545,0.0053,0.9054,0.9608,cropped-images-dev/WVWKZK85RLE_1.jpg,NULL,3,11084,NULL,NULL
197,0.3164,0.008,0.9454,0.9886,cropped-images-dev/768R2673ZTX_1.jpg,1,3,11085,NULL,NULL
198,0.2727,0.2358,0.7454,0.9219,cropped-images-dev/C1ZKAEUQ90Y_1.jpg,1,3,11086,NULL,NULL
199,0.1273,0.133,0.8,0.8969,cropped-images-dev/EP25SJNWJ9J_1.jpg,1,3,11087,NULL,NULL
200,0.4109,0.0025,0.8109,0.9553,cropped-images-dev/ZO8OIEAKU7C_1.jpg,1,3,11088,NULL,NULL
201,0.1854,0.1219,0.8691,1,cropped-images-dev/WWPQ3QUD38E_1.jpg,1,3,11089,NULL,NULL
202,0.2582,0.3469,0.9018,0.8997,cropped-images-dev/NBDRJEW6O7W_1.jpg,1,3,11090,NULL,NULL
203,0.1054,0.133,0.9891,0.9775,cropped-images-dev/9MRA88YQNAU_1.jpg,1,3,11091,NULL,NULL
204,0.3054,0.0136,0.9418,0.983,cropped-images-dev/IWI3NZ0TZ4V_1.jpg,1,3,11092,NULL,NULL
205,0.3164,0.2775,0.92,0.9358,cropped-images-dev/PMNK7LZU03Y_1.jpg,1,3,11094,NULL,NULL
206,0.0182,0.0469,0.8182,0.958,cropped-images-dev/2T7KLAKX6PH_1.jpg,1,3,11095,NULL,NULL
207,0.2727,0.0664,0.7854,0.9553,cropped-images-dev/KZPA1TYRRWA_1.jpg,1,3,11096,NULL,NULL
208,0.2982,0.3497,0.8764,0.883,cropped-images-dev/RGM3FA51ZSV_1.jpg,1,3,11097,NULL,NULL
209,0.0436,0.158,0.8291,0.9664,cropped-images-dev/L457TK24G6Z_1.jpg,1,3,11098,NULL,NULL
210,0.1018,0.0136,0.8873,0.9247,cropped-images-dev/IG616U6USZG_1.jpg,1,3,11099,NULL,NULL
211,0.2364,0.0997,0.9418,0.9469,cropped-images-dev/CTX2J10FDVP_1.jpg,1,3,11100,NULL,NULL
212,0.1309,0.0497,0.8254,0.9942,cropped-images-dev/V3N2FU0JG3Y_1.jpg,1,3,11101,NULL,NULL
213,0.36,0.1358,0.9709,1,cropped-images-dev/O8WJOK3ALAD_1.jpg,1,3,11102,NULL,NULL
214,0.1891,0.0386,0.8473,0.7386,cropped-images-dev/BWVQCCF9NJC_1.jpg,1,3,11103,NULL,NULL
215,0.0655,0.4914,0.6327,0.9719,cropped-images-dev/094OVEN4U1A_1.jpg,1,3,11104,NULL,NULL
216,0.1309,0.2608,0.6109,1,cropped-images-dev/5V5C2NXRMAF_1.jpg,1,3,11105,NULL,NULL
217,0.0691,0.0053,0.9564,0.933,cropped-images-dev/2HKI1K2332B_1.jpg,1,3,11106,NULL,NULL
218,0.2146,0.0025,0.8691,0.7442,cropped-images-dev/DZA9YU3R55I_1.jpg,1,3,11107,NULL,NULL
219,0.0182,0.0053,0.7382,0.8914,cropped-images-dev/O4JJ70RWTCT_1.jpg,1,3,11108,NULL,NULL
220,0.3164,0.2692,0.7527,0.8608,cropped-images-dev/PKO18H5SUPL_1.jpg,1,3,11109,NULL,NULL
221,0.2146,0.0108,0.9054,0.9608,cropped-images-dev/VV2OYKSWSOW_1.jpg,1,3,11110,NULL,NULL
222,0.1782,0,0.7673,0.9414,cropped-images-dev/XT4UUS00OBM_1.jpg,1,3,11111,NULL,NULL
223,0.3491,0.0108,0.84,0.683,cropped-images-dev/25Q0E65MPWV_1.jpg,1,3,11112,NULL,NULL
224,0.1346,0.1136,0.68,0.8386,cropped-images-dev/LK61PEVQ2QO_1.jpg,1,5,11113,NULL,NULL
225,0.12,0.183,0.8727,0.9608,cropped-images-dev/NRWKBLFL2BF_1.jpg,1,5,11114,NULL,NULL
226,0.1891,0.283,0.7091,0.8942,cropped-images-dev/MEIOQIT6MSF_1.jpg,1,5,11115,NULL,NULL
227,0.1273,0.1469,0.8909,0.9692,cropped-images-dev/WLW1S6ZV3TW_1.jpg,1,5,11116,NULL,NULL
228,0.3491,0.0108,0.7818,0.9914,cropped-images-dev/10NO5B11XCA_1.jpg,1,5,11117,NULL,NULL
229,0.2727,0.0942,0.8,0.6164,cropped-images-dev/067NHFYCOTE_1.jpg,1,5,11118,NULL,NULL
230,0.0145,0.0136,0.7091,0.9247,cropped-images-dev/383JCQ9UE3H_1.jpg,1,5,11119,NULL,NULL
231,0.3382,0.3053,0.9418,0.8803,cropped-images-dev/8WHLT61BDEQ_1.jpg,1,5,11120,NULL,NULL
232,0.2873,0.2469,0.8982,0.9914,cropped-images-dev/KMGR4ZEU9DH_1.jpg,1,5,11121,NULL,NULL
233,0.1454,0.0997,0.92,0.9553,cropped-images-dev/4CCG8MYMAGI_1.jpg,1,5,11122,NULL,NULL
234,0.3127,0.1108,0.9854,0.9469,cropped-images-dev/FDCMGS3IF9Q_1.jpg,1,5,11123,NULL,NULL
235,0.0182,0.0164,0.9054,0.883,cropped-images-dev/A1MDMCO5BNW_1.jpg,1,5,11124,NULL,NULL
236,0.2146,0.1192,0.8254,0.908,cropped-images-dev/FFL61FK9HJS_1.jpg,1,5,11125,NULL,NULL
237,0.4327,0.2803,0.92,0.7914,cropped-images-dev/3G7OE4D8TCV_1.jpg,1,5,11126,NULL,NULL
238,0.2946,0.3997,0.8582,0.9858,cropped-images-dev/8U41UPWLUUO_1.jpg,1,5,11127,NULL,NULL
239,0.1018,0,0.8691,0.8719,cropped-images-dev/3HOJTGJ7O9I_1.jpg,1,5,11128,NULL,NULL
240,0.0545,0.2942,0.7964,0.8358,cropped-images-dev/ZL4RB4JH9QE_1.jpg,1,5,11129,NULL,NULL
241,0.1636,0.0053,0.8,0.958,cropped-images-dev/PUCGYSBCD9B_1.jpg,1,5,11130,NULL,NULL
242,0.1054,0.0136,0.8618,0.9775,cropped-images-dev/RCU79OX8KFU_1.jpg,1,5,11131,NULL,NULL
243,0.2727,0.1497,0.8109,0.9608,cropped-images-dev/PBYYN1VB2XQ_1.jpg,1,5,11132,NULL,NULL
244,0.1091,0.3053,0.7782,0.9247,cropped-images-dev/II2NT3FHH1F_1.jpg,1,5,11133,NULL,NULL
245,0.0727,0.1247,0.7964,0.8164,cropped-images-dev/GQCHBJ15PKH_1.jpg,1,5,11134,NULL,NULL
246,0.0691,0.0219,0.9018,0.958,cropped-images-dev/XMOHVBU9YTR_1.jpg,1,5,11135,NULL,NULL
247,0.2073,0,0.7818,0.9942,cropped-images-dev/GIBZGAEUASW_1.jpg,1,5,11136,NULL,NULL
248,0.3527,0.3303,0.8764,0.9914,cropped-images-dev/GOH5YWDW5YD_1.jpg,1,5,11137,NULL,NULL
249,0.5564,0.3164,0.9746,0.9719,cropped-images-dev/C0DOHYHTYRY_1.jpg,1,5,11138,NULL,NULL
250,0.2364,0.2942,0.7564,0.9553,cropped-images-dev/IWHVJR4L68P_1.jpg,1,5,11139,NULL,NULL
251,0.3236,0.0164,0.8691,0.9692,cropped-images-dev/2T3436QB9IG_1.jpg,1,5,11140,NULL,NULL
252,0.0327,0.183,0.9491,0.8358,cropped-images-dev/FMX5PXCPXUO_1.jpg,1,5,11141,NULL,NULL
253,0.3236,0.0025,0.8073,0.9942,cropped-images-dev/ZRKO9BPV0PU_1.jpg,1,5,11142,NULL,NULL
254,0.4073,0.3192,0.8582,1,cropped-images-dev/B8HC34Q08VZ_1.jpg,1,5,11143,NULL,NULL
255,0.12,0.1997,0.6509,1,cropped-images-dev/RV9WK5NDIFI_1.jpg,1,5,11144,NULL,NULL
256,0.2291,0.1803,0.6727,0.9608,cropped-images-dev/EOAQABNS2GU_1.jpg,1,5,11145,NULL,NULL
257,0.2327,0.2136,0.7818,0.9886,cropped-images-dev/327OJLNFV1I_1.jpg,1,5,11146,NULL,NULL
258,0.2109,0.0525,0.9818,1,cropped-images-dev/0TNQCY6XAUA_2.jpg,1,5,11147,NULL,NULL
259,0.1927,0,0.7927,0.9525,cropped-images-dev/LQTOLEA6HOY_1.jpg,1,5,11148,NULL,NULL
260,0.3964,0.3275,0.9127,0.9553,cropped-images-dev/G62YS3904JZ_1.jpg,1,5,11149,NULL,NULL
261,0.1309,0.1775,1,1,cropped-images-dev/Q47998LGVDL_1.jpg,1,5,11150,NULL,NULL
262,0.0582,0.0803,0.6654,0.9942,cropped-images-dev/N9B6VUNIIHE_1.jpg,1,5,11151,NULL,NULL
263,0.1891,0.0219,0.9418,0.958,cropped-images-dev/09L0M5TLKPK_1.jpg,1,5,11152,NULL,NULL
264,0.1636,0.0136,0.6946,0.9775,cropped-images-dev/AMCM2P3JFHG_1.jpg,1,5,11153,NULL,NULL
265,0.2036,0.0719,0.6836,0.8942,cropped-images-dev/NR7MBUEJ7EY_1.jpg,1,5,11154,NULL,NULL
266,0.2582,0.0386,0.9346,0.9997,cropped-images-dev/PKTAQMRE3NO_1.jpg,1,5,11155,NULL,NULL
267,0.2654,0.0053,0.8146,0.983,cropped-images-dev/RMXV012CJ2L_1.jpg,1,5,11156,NULL,NULL
268,0.0618,0.1886,0.8618,0.9442,cropped-images-dev/YE9XJS9YFMD_1.jpg,1,5,11157,NULL,NULL
269,0.2327,0.0136,0.9454,1,cropped-images-dev/LZ3X3NYGTAI_1.jpg,1,5,11158,NULL,NULL
270,0.3527,0.0136,0.9636,0.983,cropped-images-dev/U8K1XRLWTBG_1.jpg,1,5,11160,NULL,NULL
271,0.0182,0.2803,0.6218,0.783,cropped-images-dev/FG3C7F8WB4X_1.jpg,1,5,11161,NULL,NULL
272,0.2618,0.2886,0.8982,0.9664,cropped-images-dev/W0ZFRUUXKFJ_1.jpg,1,5,11162,NULL,NULL
273,0.4982,0.1553,0.9891,0.8914,cropped-images-dev/6WQV13PKW5S_1.jpg,1,5,11163,NULL,NULL
274,0.2764,0.0136,0.8764,0.9553,cropped-images-dev/H9XM0YAJXVS_1.jpg,1,5,11164,NULL,NULL
275,0.0652,0.1242,0.9348,0.9807,cropped-images-dev/F2KAUBPDUFT_1.jpg,1,5,11205,NULL,NULL
276,0.0739,0.0024,0.9435,0.9764,cropped-images-dev/V1YQGN1JU9H_1.jpg,1,5,11206,NULL,NULL
277,0.0783,0.3459,0.9217,0.9938,cropped-images-dev/EMQ0LLVJ78K_1.jpg,1,5,11207,NULL,NULL
278,0.0913,0.0633,0.8956,0.9938,cropped-images-dev/IV4K8RP810B_1.jpg,1,5,11208,NULL,NULL
279,0.0609,0.0242,0.9348,0.9764,cropped-images-dev/0VSL6S5PC5K_1.jpg,1,5,11209,NULL,NULL
280,0.0696,0.2807,0.9609,0.9938,cropped-images-dev/YBRS2OIH2IR_1.jpg,1,5,11210,NULL,NULL
282,0.0913,0.3372,0.9478,1,cropped-images-dev/K1S1I6OWJ3Q_1.jpg,1,5,11212,NULL,NULL
283,0.0261,0.2416,0.987,0.985,cropped-images-dev/61NV4RXC61Z_1.jpg,1,5,11213,NULL,NULL
284,0.0826,0.4677,0.913,1,cropped-images-dev/31A0UKVB63T_1.jpg,1,5,11214,NULL,NULL
286,0.0478,0.0329,0.9652,0.9981,cropped-images-dev/2GCWLJLV9PT_1.jpg,1,5,11216,NULL,NULL
287,0.0522,0.0938,0.9565,1,cropped-images-dev/YFLLX3RB36A_1.jpg,1,5,11217,NULL,NULL
288,0.0609,0.3938,0.9652,1,cropped-images-dev/73PBAMQ3M5U_1.jpg,1,5,11218,NULL,NULL
289,0.0609,0.0285,0.9696,1,cropped-images-dev/UW306NAFRKS_1.jpg,1,5,11219,NULL,NULL
290,0.0957,0.0285,0.9044,1,cropped-images-dev/OGO412W10JT_1.jpg,1,5,11220,NULL,NULL
291,0.1522,0.0198,0.8478,1,cropped-images-dev/2XBZFL1YABE_1.jpg,1,5,11221,NULL,NULL
292,0.1696,0.1372,0.7522,0.8155,cropped-images-dev/207T5L4CKUV_1.jpg,1,5,11222,NULL,NULL
293,0.0696,0.0633,0.9391,1,cropped-images-dev/C33GGYDRRSL_1.jpg,1,5,11223,NULL,NULL
294,0.0087,0.2329,1,1,cropped-images-dev/FCY0S7MOC2E_1.jpg,1,5,11224,NULL,NULL
296,0.0261,0.5285,0.5304,0.9938,cropped-images-dev/O5Y9NZINRHQ_1.jpg,1,5,11226,NULL,NULL
297,0.0826,0.1372,0.913,1,cropped-images-dev/58BZ2R02JQZ_1.jpg,1,5,11227,NULL,NULL
298,0.06,0.0319,0.95,1,cropped-images-dev/C1CPNHCGCOA_1.jpg,1,5,11228,NULL,NULL
299,0.1478,0.0459,0.9217,0.9981,cropped-images-dev/ZX1FLOB3VEG_1.jpg,1,5,11229,NULL,NULL
